Doi,Title,Year,Type,Url,Authors,Topic,Subfield,Field,Domain,Cites,Cited_by,Keywords,Abstract
10.3390/ijerph19052711,"An Internet-Based Multi-Approach Intervention Targeting University Students Suffering from Psychological Problems: Design, Implementation, and Evaluation",2022,journal-article,https://doi.org/10.3390/ijerph19052711,"0000-0003-1261-2234, 0000-0001-6640-7717, 0009-0007-8464-8435, 0000-0003-1489-321X, 0000-0003-2853-3901, 0000-0003-3768-770X, 0000-0003-0618-0690, 0000-0002-6366-8433, 0000-0002-7593-8007, 0000-0001-5207-4579, 0000-0001-8130-437X",Digital Mental Health Interventions and Efficacy,Applied Psychology,Psychology,Social Sciences,82,5,"['Psychoeducation', 'Internet-based Interventions']"
10.1007/978-3-031-19849-6_19,Non-functional Testing of Runtime Enforcers in Android,2022,book-chapter,https://doi.org/10.1007/978-3-031-19849-6_19,"0000-0003-1261-2234, 0000-0003-2120-2894, 0000-0001-9527-7042",Automated Software Testing Techniques,Software,Computer Science,Physical Sciences,28,1,['Automated Testing']
10.1007/s40860-021-00147-0,Trends in human activity recognition using smartphones,2021,journal-article,https://doi.org/10.1007/s40860-021-00147-0,"0000-0003-1261-2234, 0000-0001-5718-630X, 0000-0002-3499-0159, 0000-0001-9112-0574",Activity Recognition in Pervasive Computing Environments,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,133,65,"['Activity Recognition', 'Data pre-processing']"
10.1016/j.jss.2020.110523,In-the-field monitoring of functional calls: Is it feasible?,2020,journal-article,https://doi.org/10.1016/j.jss.2020.110523,"0000-0003-1261-2234, 0000-0002-9243-8071, 0000-0003-1994-8929, 0000-0001-8512-5029",Log Analysis and System Performance Diagnosis,Computer Networks and Communications,Computer Science,Physical Sciences,46,4,"['Profiling (computer programming)', 'Log Analysis']"
10.3390/app10093024,Online Social Space Identification. A Computational Tool for Optimizing Social Recommendations,2020,journal-article,https://doi.org/10.3390/app10093024,"0000-0003-1261-2234, 0000-0002-1762-9441, 0000-0002-8629-3056, 0009-0008-5921-1351, 0000-0003-3520-4022, 0000-0002-5911-5748, 0000-0003-2633-9822",Technology Adoption and Aging Population,Demography,Social Sciences,Social Sciences,48,1,"['Technology Use', 'Aging', 'Older Adults', 'Social Support', 'Ambient Intelligence', 'Identification (biology)']"
10.1109/ACCESS.2020.2973425,On the Personalization of Classification Models for Human Activity Recognition,2020,journal-article,https://doi.org/10.1109/ACCESS.2020.2973425,"0000-0003-1261-2234, 0000-0001-5718-630X, 0000-0002-3499-0159, 0000-0001-9112-0574",Activity Recognition in Pervasive Computing Environments,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,66,110,"['Activity Recognition', 'Similarity (geometry)', 'Ambient Intelligence', 'Self-Monitoring', 'Behavior Change']"
10.1007/978-3-030-60508-7_15,Test4Enforcers: Test Case Generation for Software Enforcers,2020,book-chapter,https://doi.org/10.1007/978-3-030-60508-7_15,"0000-0003-1261-2234, 0000-0002-3006-4414, 0000-0003-2120-2894, 0000-0001-9527-7042",Automated Software Testing Techniques,Software,Computer Science,Physical Sciences,43,3,['Software Reliability Modeling']
10.1007/s40860-019-00087-w,Reliability on pervasive well-being: will it soon become a reality?,2019,journal-article,https://doi.org/10.1007/s40860-019-00087-w,"0000-0003-1261-2234, 0000-0002-9818-0999",Living Labs in Open Innovation Networks,Management of Technology and Innovation,"Business, Management and Accounting",Social Sciences,0,1,['Job Satisfaction']
10.1007/978-3-030-34255-5_28,Human Activities Recognition Using Accelerometer and Gyroscope,2019,book-chapter,https://doi.org/10.1007/978-3-030-34255-5_28,"0000-0003-1261-2234, 0000-0002-4845-4509, 0000-0002-3499-0159, 0000-0001-9112-0574",Activity Recognition in Pervasive Computing Environments,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,16,18,"['Activity Recognition', 'Accelerometer Data']"
10.3390/s24227390,Enhancing Direction-of-Arrival Estimation with Multi-Task Learning,2024,journal-article,https://doi.org/10.3390/s24227390,"0000-0001-9112-0574, 0000-0002-7070-1545, 0000-0002-5925-2646, 0000-0003-3713-4283",Speech Enhancement Techniques,Signal Processing,Computer Science,Physical Sciences,59,0,"['Direction-of-Arrival Estimation', 'Audio-Visual Speech Recognition', 'Machine Learning', 'Deep Learning', 'Robust Adaptive Beamforming', 'Direction of arrival']"
