ORCID ID,Given_Name,Family_Name,Role,Keywords,Organization,H Index,Citations
0000-0002-4929-4850,Umut,Sulubacak,PhD student,"Computational linguistics, Language technology, Machine translation, Natural language processing",University of Helsinki,,
0000-0003-2540-1735,Claudiney,Tinoco,,"Swarm Robotics, Swarm Intelligence, Bio-inspired Computing, Evolutionary Computation, Complex Systems, Artificial Intelligence",Federal University of Uberlândia,6,114
0000-0002-0840-1445,Dafeng,Zhang,,Nessuna,Samsung Research China – Beijing (SRC-B),12,614
0009-0005-0662-1312,Po-Wei,Wang,,Nessuna,Carnegie Mellon University,12,835
0000-0003-2372-6878,ali,mohebbi,,Nessuna,"Professor of Chemical Engineering, Shahid Bahonar University of Kerman",34,3733
0000-0002-3502-6759,Michael,Brown,Principal Chemist,Nessuna,Oncodrug Ltd,233,199036
0000-0003-4383-8711,William,Hlavacek,Scientist,"systems biology,  quantitative biology,  rule-based modeling",Los Alamos National Laboratory,47,18916
0000-0002-5171-9096,Yukiko,Matsuoka,Senior Scientist,Nessuna,Systems Biology Institute,,
0000-0002-1859-3719,Alida,Palmisano,Bioinformatics Researcher,Nessuna,National Cancer Institute,14,870
0000-0002-3901-8545,Ole,Vang,"VIP, Associate Professor","Combinatory effect, Resveratrol, Indoles, Chemoprevention",Roskilde University,31,3273
0000-0003-1757-1865,Shihua,Zhang,,Nessuna,"Professor of Academy of Mathematics and Systems Science, Chinese Academy of Sciences",42,8041
0000-0003-3943-7181,Yuchen,Fan,,Nessuna,University of Illinois,31,9339
0000-0002-1129-8610,Dongliang,He,,Nessuna,ByteDance Inc.,29,3033
0000-0002-5405-0252,Lei lei,Zhang,,Nessuna,"Chair Professor, Dept. of Computing, The Hong Kong Polytechnic University",150,108673
0000-0003-2852-3869,Rakesh,Shiradkar,,Nessuna,Indiana University Indianapolis,14,907
0000-0003-4889-2768,FRANCESCO,BARTOLI,,Nessuna,University of Milano Bicocca,41,4947
0000-0003-4186-3788,David,Gomez-Cabrero,,Nessuna,Karolinska University Hospital,39,12014
0000-0002-7192-9402,jing,tang,,Nessuna,East China Normal University,68,19940
0000-0002-8931-7105,Matthew,Cox,"Physician, Otology and Neurotology","Otology, Neurotology, Cochlear Implant, BAHA, Hearing Loss, Ear, Tympanoplasty, Mastoidectomy, Retrograde Mastoidectomy, Cartilage Tympanoplasty, Stapes, Stapedotomy, Stapedectomy, Ossiculoplasty, OCR",Florida Otolaryngology Group PA,20,1561
0000-0003-1473-5350,Siu Chung,Wong,Associate Professor,Nessuna,Hong Kong Polytechnic University,51,9347
0000-0003-2815-7045,Kieran,Smallbone,,Nessuna,"MCISB / Mathematics / Computer Science, University of Manchester",30,6351
0000-0001-5364-7316,Tommaso,Calarco,,Nessuna,Forschungszentrum Jülich,65,14461
0000-0001-7029-5551,Marc,Tarres-Vives,Dr. Profesor agregado (acreditado TU),Nessuna,Universidad de Barcelona,6,204
0000-0002-5171-5239,Chiara,Natali,,Nessuna,"PhD Student in Computer Science, University of Milan-Bicocca",6,152
0000-0002-1352-4220,Krister,Wennerberg,,Nessuna,Københavns Universitet,57,18717
0000-0003-3544-0535,Pengxu,Wei,,Nessuna,Sun Yat-sen University,18,1472
0009-0002-8850-8599,MIKHAIL,TCHOBANOU,,Nessuna,Moscow Power Engineering Institute,10,261
0000-0002-4158-1644,Adrian,Rutle,Professor,Nessuna,Western Norway University of Applied Sciences,21,1454
0000-0002-2576-6497,Yiyi,Liu,,Nessuna,"Associate Professor, Nanjing Medical University",16,1026
0000-0002-8635-3848,noa,ben david,,Nessuna,"PhD researcher, UCL",0,
0000-0001-8721-202X,Huaiyu,Mi,Associate Professor,Nessuna,Keck School of Medicine of USC,44,66172
0000-0003-2120-8647,Mostafa,Karimi,,Nessuna,Senior Applied Scientist in Amazon,13,2368
0000-0002-7828-0415,Lei,Lei,,Nessuna,"Duke University, CERN",278,382419
0000-0002-0786-8377,Sorin,Draghici,Program Director,"Bionformatics, Computational biology, Machine learning, Neural networks",National Science Foundation,59,18635
0000-0002-9898-9616,Bart,Westerman,,Nessuna,"Group leader Genomics, Lecturer Bioinformatics",29,5267
0000-0002-7077-4912,Angelo,Facchiano,Research Director - Staff Researcher - Group Leader,Nessuna,"National Research Council, Italy",41,5405
0000-0002-0049-8238,James,Liley,,Nessuna,Eli Lily,37,4880
0000-0002-2151-804X,Cosmin,Ancuti,,Nessuna,"Professor, University Politehnica Timisoara",27,7310
0000-0002-2055-2836,Ranjan,Mondal,,Nessuna,"Professor of Anthropology, University of Delhi, Delhi",8,701
0000-0003-0618-0690,Jorge,Lopez-Castroman,,Nessuna,CHRU Nîmes,38,4362
0000-0002-7109-1638,Vikas Kumar,Anand,,Nessuna,"Research Scholar, Indian Institute of Technology Madras",4,109
0009-0003-5838-5329,Mattia,Sgro,PhD Student,Nessuna,Università degli Studi di Milano-Bicocca,1,1
0009-0003-1182-5577,Paolo,ROSSO,,Nessuna,"Full Professor, Computer Science, Universitat Politècnica de València",80,24925
0000-0002-5164-3108,Dong-Wook,Kim,,Nessuna,korea research institute of chemical technology,126,92674
0000-0001-9112-8699,IRENE,SALA,,Nessuna,Cold  Spring Harbor Laboratory,13,1125
0000-0002-0293-171X,Chiara,NATALI,Technician,Nessuna,University of Florence,6,152
0000-0002-7198-0187,Syed Waqas,Zamir,,"Syed Waqas Zamir, swzamir, S.W. Zamir",Research Scientist at IIAI,28,10968
0000-0002-8356-1457,Nanne,Aben,,Nessuna,Kaiko,10,2542
0000-0002-3173-2533,Ran,Zhu,,Nessuna,"University of Tennessee, Knoxville",9,315
0000-0003-3227-1246,Weronika,Kamola-Uberman,"wykładowca, adiunkt",Nessuna,WSB Merito University in Gdańsk,,
0000-0002-1540-904X,Ming-ming,Chen,,Nessuna,"Professor of Computer Science, Nankai University",97,57700
0000-0002-8683-7084,Martin,Golebiewski,Expert for Systems Biology Standards and Data Management,"Scientific data management, Systems Biology, Biomedical Standards, Data standards, Modelling standards, ISO, COMBINE, Systems Medicine, Virtual Liver, Data integration",HITS gGmbH,23,3188
0000-0003-2238-2372,James,Moon,,Nessuna,University of Michigan,113,57549
0000-0001-5272-6477,Marco,Leonardi,,Nessuna,"professore di economia, università di Milano",22,2696
0000-0002-1134-6758,Boris,Steipe,Professor emeritus,Nessuna,University of Toronto,35,5812
0000-0002-5169-7253,Luca,Rosato,Attending,Nessuna,Azienda Unità Sanitaria Locale di Piacenza,,
0000-0002-5780-7417,Rama,Raghavan,,Nessuna,"Associate Professor (Epidemiology), University of Missouri (https://orcid.org/0000-0002-2657-3398)",21,1621
0000-0002-5528-3031,Carmen,Guerrero,,Nessuna,IIS-Fundacion Jimenez Diaz. Autonoma University of Madrid,48,6560
0000-0001-5864-9281,Yi-Chung,Chen,Assistant Professor,Nessuna,Tennessee State University,12,521
0000-0002-2169-4588,Kathleen,Marchal,ASSOCIATE PROFESSOR,"bioinformatics, systems biology",Universiteit Gent,57,21471
0009-0003-0443-3663,Ibrahim,Vazirabad,Bioinformatics Analyst III,Nessuna,Medical College of Wisconsin,3,313
0009-0003-8721-8693,Wenjin,Zheng,,Nessuna,Dehua County Hospital,67,27713
0000-0002-5588-1090,Neta,Zach,,Nessuna,"Senior Director, Takeda Neuroscience",17,1294
0000-0002-2027-7993,Bessem,Sayadi,Research Manager,Nessuna,Nokia Bell Labs,17,1433
0000-0001-9227-5914,Daniel,Mason,,Nessuna,Cornell University,48,17643
0000-0002-3180-5966,Jean-Baptiste,Pettit,,Nessuna,"Cambridge University, EMBL-EBI",6,1102
0000-0001-9043-3915,matteo,lombardi,,Nessuna,"Ph.D., Griffith University",9,262
0000-0001-7554-1862,Henning,Schmidt,,Nessuna,"Professor of Physics, Stockholm University",43,5621
0000-0001-8156-3136,yizi,chen,,Nessuna,ETH Zürich,5,121
0000-0001-9254-7270,Zhiqiang ,Lang,,Nessuna,Northwestern Polytechnical University,6,408
0000-0001-5521-7029,Minsoo,Choi,,Nessuna,Unknown affiliation,8,338
0000-0002-8140-6525,Marta,Sales-Pardo,Professor,"complex systems, complex networks, science of science, data analysis, systems biology",Universitat Rovira i Virgili,34,7865
0000-0003-2871-8009,Alessandro,Tibaldi,Full professor,Nessuna,Università degli Studi di Milano-Bicocca,49,6812
0000-0002-7934-5495,Pedro,Monteiro,Associate Professor,"Computational Biology, Algorithms, Formal Verification, Biological Networks, Discrete event systems",Universidade de Lisboa Instituto Superior Técnico,45,10659
0000-0001-5050-8687,Paola,Vallerio,,Nessuna,Stockholm University,42,5904
