,Given Name,Family Name,Department Code,Specific Field,Role,ORCID ID,Organization,Keywords,H Index,Citations,Past Institutions
60,ALESSANDRO,RAGANATO,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0002-7018-7515,University of Milan Bicocca,"Natural Language Processing, Computational Linguistics, Word Sense Disambiguation, Machine Translation, Lexical Semantics",17.0,2883.0,"['University of Milano-Bicocca', 'University of Amsterdam', 'Amsterdam University Medical Centers', 'University of Helsinki', 'University of the Humanities', 'Bar-Ilan University', 'Tel Aviv University', 'Technical University of Darmstadt']"
61,MARCO,SAVI,(IINF-05/A),Information Processing Systems,Fixed-term Researcher,0000-0002-8193-0597,University of Milan Bicocca,"Software-Defined Networking, Network Function Virtualization, Edge Computing, Network Monitoring, Programmable Data Planes",19.0,1276.0,"['Fondazione Bruno Kessler', 'University of Melbourne', 'Universidad de Alcalá', 'Universidad Politécnica de Madrid', 'Center for Research and Telecommunication Experimentation for Networked Communities', 'Politecnico di Milano', 'Consorzio di Bioingegneria e Informatica Medica']"
62,BLERINA,SPAHIU,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0002-6958-8215,University of Milan Bicocca,"Knowledge Graph Profiling, KG Integration, Semantic Annotation",9.0,412.0,['University of Milan']
63,IONEL EDUARD,STAN,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0001-9260-102X,University of Milan Bicocca,"Modal Logic, XAI",9.0,218.0,"['University of Ferrara', 'University of Parma', 'University of Udine']"
64,SIMONE,ZINI,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0002-8505-1581,University of Milan Bicocca,"Computational Photography, Machine Learning, Computer vision, Image Restoration, Image Enhancement",7.0,258.0,['York University']
65,FRANCESCO,ARCHETTI,,SSD not available,Fixed-term Researcher,0000-0003-1131-3830,University of Milan Bicocca,"data analytics, computer science, machine learning, network analytics",27.0,2929.0,"['Center for Interdisciplinary Studies', 'University of Milan', 'IHE Delft Institute for Water Education', 'Istituto Nazionale di Alta Matematica Francesco Severi', 'United States Nuclear Regulatory Commission']"
66,GIULIA ROSEMARY,AVIS,(INF/01),Computer Science,Professor Emeritus,0009-0008-7301-6982,University of Milan Bicocca,Nessuna,,,
67,MIRKO PAOLO,BARBATO,(INF/01),Computer Science,Research Fellow,0000-0002-3967-8957,University of Milan Bicocca,"Computer vision, Remote sensing",3.0,41.0,['Istituto Nazionale di Fisica Nucleare']
68,FEDERICO,BELOTTI,(INF/01),Computer Science,Research Fellow,0009-0008-0140-3318,University of Milan Bicocca,"NLP, Semantic Table Interpretation, Interpretability",2.0,18.0,
69,RAMDHANE FIRAS,BEN,(INF/01),Computer Science,Research Fellow,0000-0002-3607-3231,University of Milan Bicocca,Nessuna,,,
70,FEDERICO,BERGAMINI,(ING-INF/05),Information Processing Systems,Research Fellow,,University of Milan Bicocca,,,,
71,STEFANIA,BOFFA,(INF/01),Computer Science,Research Fellow,0000-0002-4171-3459,University of Milan Bicocca,,7.0,141.0,"['University of Ostrava', 'University of Insubria', 'University of Salerno']"
72,LUCA,CELOTTI,(INF/01),Computer Science,Research Fellow,0000-0003-2460-8099,University of Milan Bicocca,Nessuna,,,['Université de Sherbrooke']
73,MATTEO ROBERT,CHILD,(INF/01),Computer Science,Research Fellow,,University of Milan Bicocca,,,,
74,XIAOCHEN,CHOU,(INF/01),Computer Science,Research Fellow,0000-0003-1491-9336,University of Milan Bicocca,"Operations Research, Machine Learning",7.0,163.0,"['University of Modena and Reggio Emilia', 'Dalle Molle Institute for Artificial Intelligence Research', 'University of Applied Sciences and Arts of Southern Switzerland', 'Università della Svizzera italiana']"
75,SIMONE,CICCOLELLA,(INF/01),Computer Science,Research Fellow,0000-0002-6469-4887,University of Milan Bicocca,,10.0,291.0,['Cornell University']
