"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works"
"XIAOCHEN","CHOU","(INF/01)","Computer Science","Research Fellow","0000-0003-1491-9336","University of Milano-Bicocca","APPROVED","Postdoctoral Researcher","2022","operations research, machine learning","N/A",20
"SIMONE","CICCOLELLA","(INF/01)","Computer Science","Research Fellow","0000-0002-6469-4887","Università degli Studi di Milano-Bicocca","APPROVED","PostDoc","2022","Nessuna","N/A",10
"ROBERTO","CROTTI","(INF/01)","Computer Science","Research Fellow","0000-0003-3009-1874","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"SEYED MOJTABA","DARYABARI","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","",""
"MANUEL","ELIA","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","",""
"FEDERICA","FILIPPINI","(INF/01)","Computer Science","Research Fellow","0000-0002-6549-924X","University of Milano-Bicocca","APPROVED","Post-Doc Researcher","2024","Nessuna","N/A",14
"YOUNAN","GAO","(INF/01)","Computer Science","Research Fellow","0000-0003-4984-2551","N/A","TO CHECK","N/A","N/A","Data Structures and Algorithms","N/A",6
"ROBERTO","GARRONE","(INF/01)","Computer Science","Research Fellow","0009-0005-7060-6774","University of Milano-Bicocca","APPROVED","Assegnista","2024","Nessuna","N/A",0
"ALESSANDRO","GHERARDI","(INF/01)","Computer Science","Research Fellow","0000-0002-5347-3851","Advanced Research Center on Electronic System (ARCES)","TO CHECK","Researcher","2003","Computer science, Computer vision, Image analysis, Image processing, mosaicing, skin surface analysis, computer graphics, virtual and augmented reality","A-3021-2012",38
"ALESSANDRA","GROSSI","(INF/01)","Computer Science","Research Fellow","0000-0003-1308-8497","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",13
"LUCA","GUGLIELMO","(INF/01)","Computer Science","Research Fellow","0000-0002-5580-3623","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",1
"PRANAV","KASELA","(INF/01)","Computer Science","Research Fellow","0000-0003-0972-2424","University of Milano-Bicocca","APPROVED","PhD Student","N/A","Nessuna","N/A",3
"ELSON","KURIAN","(INF/01)","Computer Science","Research Fellow","0000-0002-6392-0870","University of Milano-Bicocca","APPROVED","Research Fellow (Assegnista Di Riccerca)","2023","Software Engineering, Software Reliability","N/A",3
"GIORGIO","LONGARI","(ING-INF/05)","Information Processing Systems","Research Fellow","0000-0002-2086-9091","University of Milano-Bicocca","APPROVED","Guest Researcher","2024","Nessuna","N/A",1
"FILIPPO","MAGGIOLI","(ING-INF/05)","Information Processing Systems","Research Fellow","0000-0001-8008-8468","Universita` degli Studi di ROMA ""La Sapienza""","TO CHECK","Assegnisti","2023","Nessuna","N/A",17
"JACOPO","MALTAGLIATI","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","",""
"LUCA","MARCONI","(INF/01)","Computer Science","Research Fellow","0000-0002-0236-6159","University of Milano-Bicocca","APPROVED","Postdoctoral Researcher","2024","Artificial Intelligence, Human-AI Interaction, Explainable Artificial Intelligence, Decision-Support Systems, Cognitive Science, Knowledge Management, Complex Systems, Systems Dynamics, Social Systems, Systems Modeling, Systems Analysis, Knowledge Engineering, Educational technologies, AI Education, Agent-Based Simulation, Decision-Making Processes, Agent-Based Modeling, Management Science, Computational Social Science","N/A",22
"GIORGIO","MARIANI","(INF/01)","Computer Science","Research Fellow","0000-0003-3906-0513","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"GIULIAMARIA","MENARA","(INF/01)","Computer Science","Research Fellow","0000-0001-7010-2000","Università degli Studi di Trieste","TO CHECK","PhD Student","2021","Nessuna","N/A",4
"GIAN CARLO","MILANESE","(INF/01)","Computer Science","Research Fellow","0000-0002-1757-0152","Università degli Studi di Milano-Bicocca","APPROVED","PhD Student","2020","Nessuna","N/A",5
