"Given Name","Family Name","Keywords","ResearcherID","Role Title","Start Date","Organization","Number of Works","ORCID ID"
"Giovanni Donato","Gallo","Nessuna","N/A","N/A","N/A","N/A",0,"0009-0009-2413-5149"
"Matteo","Garavaglia","Nessuna","N/A","N/A","N/A","N/A",0,"0009-0006-7451-3986"
"marco","locatelli","Nessuna","N/A","N/A","N/A","N/A",166,"0000-0003-0778-3653"
"Francesca","Maccarone","Nessuna","N/A","PhD student","2023","University of Milano-Bicocca",0,"0009-0004-6221-2671"
"Atieh","Mahroo","Nessuna","N/A","N/A","N/A","N/A",14,"0000-0002-2962-3661"
"Fariha","Maqbool","Nessuna","N/A","PhD student","2023","University of Milano-Bicocca",3,"0009-0008-2587-9417"
"Mario","Marino","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0002-4686-7297"
"Francesco","Morano","Nessuna","N/A","","N/A","University of Milano-Bicocca",0,"0009-0008-4593-4778"
"Chiara","NATALI","Nessuna","N/A","Technician","N/A","University of Florence",2,"0000-0002-0293-171X"
"Marco","PIAZZA","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0001-7105-2017"
"Riccardo","Pozzi","Nessuna","N/A","N/A","N/A","N/A",3,"0000-0002-4954-3837"
"Brian","Riccardi","Algorithms, Data Structures, Automata, Logic","N/A","N/A","N/A","N/A",6,"0000-0002-4925-9529"
"Giorgia","Rigamonti","Nessuna","N/A","PhD Student","2023","University of Milano-Bicocca",0,"0009-0006-4253-1020"
"NICCOLÒ","ROCCHI","Nessuna","N/A","N/A","N/A","N/A",0,"0009-0000-9764-0036"
"Lorenzo","Rovida","Nessuna","N/A","N/A","N/A","N/A",5,"0000-0001-5093-7932"
"Daniel","Scalena","Nessuna","N/A","","N/A","University of Groningen",1,"0009-0006-0518-6504"
"Mattia","Sgro","Nessuna","N/A","PhD Student","2023","Università degli Studi di Milano-Bicocca",1,"0009-0003-5838-5329"
"Sahar","Shah","Nessuna","N/A","N/A","N/A","N/A",1,"0000-0002-9943-935X"
"Mohamed Nasser Hassan","Sweilam","Nessuna","N/A","PhD student","N/A","University of Milano-Bicocca",0,"0009-0004-7796-0613"
"Jacopo","Talpini","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0003-1556-6296"
"Giulio","Viganò","Nessuna","N/A","Phd Student","2023","University of Milano-Bicocca",2,"0009-0000-7263-2160"
