"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works","H Index","Citations"
"ALESSANDRO","RAGANATO","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-7018-7515","University of Milano-Bicocca","APPROVED","tenure-track Assistant Professor",2022.0,"Natural Language Processing, Computational Linguistics, Word Sense Disambiguation, Machine Translation, Lexical Semantics","",36.0,17,2883
"MARCO","SAVI","(IINF-05/A)","Information Processing Systems","Fixed-term Researcher","0000-0002-8193-0597","University of Milano-Bicocca","APPROVED","Assistant Professor",2020.0,"Software-Defined Networking, Network Function Virtualization, Edge Computing, Network Monitoring, Programmable Data Planes","",43.0,19,1276
"BLERINA","SPAHIU","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-6958-8215","Universita degli Studi di Milano-Bicocca","APPROVED","Borsa di ricerca",2017.0,"Knowledge Graph Profiling, KG Integration, Semantic Annotation","",16.0,9,412
"IONEL EDUARD","STAN","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0001-9260-102X","University of Milano-Bicocca","APPROVED","Assistant Professor",2024.0,"Modal Logic, XAI","LCE-8649-2024",14.0,9,218
"SIMONE","ZINI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-8505-1581","University of Milano-Bicocca","APPROVED","Assistant Professor",2024.0,"Computational Photography, Machine Learning, Computer vision, Image Restoration, Image Enhancement","",15.0,7,258
"FRANCESCO","ARCHETTI","","SSD not available","Fixed-term Researcher","0000-0003-1131-3830","","TO CHECK","","","data analytics, computer science, machine learning, network analytics","",0.0,27,2929
"GIULIA ROSEMARY","AVIS","(INF/01)","Computer Science","Professor Emeritus","0009-0008-7301-6982","University of Milano-Bicocca","APPROVED","","","Nessuna","",0.0,"NA","NA"
"MIRKO PAOLO","BARBATO","(INF/01)","Computer Science","Research Fellow","0000-0002-3967-8957","","TO CHECK","","","Computer vision, Remote sensing","",7.0,3,41
"FEDERICO","BELOTTI","(INF/01)","Computer Science","Research Fellow","0009-0008-0140-3318","University of Milano-Bicocca","APPROVED","Research Fellow",2024.0,"NLP, Semantic Table Interpretation, Interpretability","",0.0,18,2
"RAMDHANE FIRAS","BEN","(INF/01)","Computer Science","Research Fellow","0000-0002-3607-3231","Université Libre de Tunis","TO CHECK","Teacher",2017.0,"Nessuna","",5.0,"NA","NA"
"FEDERICO","BERGAMINI","(ING-INF/05)","Information Processing Systems","Research Fellow","","","TO CHECK","","","","","","NA","NA"
"STEFANIA","BOFFA","(INF/01)","Computer Science","Research Fellow","0000-0002-4171-3459","University of Ostrava","TO CHECK","Postdoctoral researcher",2019.0,"","",17.0,141,7
"LUCA","CELOTTI","(INF/01)","Computer Science","Research Fellow","0000-0003-2460-8099","","TO CHECK","","","Nessuna","",0.0,"NA","NA"
"MATTEO ROBERT","CHILD","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","","","NA","NA"
"XIAOCHEN","CHOU","(INF/01)","Computer Science","Research Fellow","0000-0003-1491-9336","University of Milano-Bicocca","APPROVED","Postdoctoral Researcher",2022.0,"Operations Research, Machine Learning","",20.0,163,7
"SIMONE","CICCOLELLA","(INF/01)","Computer Science","Research Fellow","0000-0002-6469-4887","Università degli Studi di Milano-Bicocca","APPROVED","PostDoc",2022.0,"","",10.0,10,291
"ROBERTO","CROTTI","(INF/01)","Computer Science","Research Fellow","0000-0003-3009-1874","","TO CHECK","","","Nessuna","",0.0,"NA","NA"
"SEYED MOJTABA","DARYABARI","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","","","NA","NA"
"MANUEL","ELIA","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","","","NA","NA"
"FEDERICA","FILIPPINI","(INF/01)","Computer Science","Research Fellow","0000-0002-6549-924X","University of Milano-Bicocca","APPROVED","Post-Doc Researcher",2024.0,"","",14.0,49,6
"YOUNAN","GAO","(INF/01)","Computer Science","Research Fellow","0000-0003-4984-2551","","TO CHECK","","","Data Structures and Algorithms","",6.0,"NA","NA"
"ROBERTO","GARRONE","(INF/01)","Computer Science","Research Fellow","0009-0005-7060-6774","University of Milano-Bicocca","APPROVED","Assegnista",2024.0,"Nessuna","",0.0,"NA","NA"
"ALESSANDRO","GHERARDI","(INF/01)","Computer Science","Research Fellow","0000-0002-5347-3851","Advanced Research Center on Electronic System (ARCES)","TO CHECK","Researcher",2003.0,"Computer science, Computer vision, Image analysis, Image processing, mosaicing, skin surface analysis, computer graphics, virtual and augmented reality","A-3021-2012",38.0,"NA","NA"
"ALESSANDRA","GROSSI","(INF/01)","Computer Science","Research Fellow","0000-0003-1308-8497","","TO CHECK","","","Effective computing, signal analysis, physiological signal, speech emotion recognition","",13.0,49,5
"LUCA","GUGLIELMO","(INF/01)","Computer Science","Research Fellow","0000-0002-5580-3623","","TO CHECK","","","Nessuna","",1.0,"NA","NA"
"PRANAV","KASELA","(INF/01)","Computer Science","Research Fellow","0000-0003-0972-2424","University of Milano-Bicocca","APPROVED","PhD Student","","information retrieval, neural model, deep learning","",3.0,3,38
"ELSON","KURIAN","(INF/01)","Computer Science","Research Fellow","0000-0002-6392-0870","University of Milano-Bicocca","APPROVED","Research Fellow (Assegnista Di Riccerca)",2023.0,"software reliability, software testing","",3.0,2,18
"GIORGIO","LONGARI","(ING-INF/05)","Information Processing Systems","Research Fellow","0000-0002-2086-9091","University of Milano-Bicocca","APPROVED","Guest Researcher",2024.0,"Nessuna","",1.0,"NA","NA"
"FILIPPO","MAGGIOLI","(ING-INF/05)","Information Processing Systems","Research Fellow","0000-0001-8008-8468","Universita` degli Studi di ROMA ""La Sapienza""","TO CHECK","Assegnisti",2023.0,"Nessuna","",17.0,"NA","NA"
"JACOPO","MALTAGLIATI","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","","","NA","NA"
"LUCA","MARCONI","(INF/01)","Computer Science","Research Fellow","0000-0002-0236-6159","University of Milano-Bicocca","APPROVED","Postdoctoral Researcher",2024.0,"Artificial Intelligence, Human-AI Interaction, Explainable Artificial Intelligence, Decision-Support Systems, Cognitive Science, Knowledge Management, Complex Systems, Systems Dynamics, Social Systems, Systems Modeling, Systems Analysis, Knowledge Engineering, Educational technologies, AI Education, Agent-Based Simulation, Decision-Making Processes, Agent-Based Modeling, Management Science, Computational Social Science","",22.0,"NA","NA"
"GIORGIO","MARIANI","(INF/01)","Computer Science","Research Fellow","0000-0003-3906-0513","","TO CHECK","","","Nessuna","",0.0,"NA","NA"
"GIULIAMARIA","MENARA","(INF/01)","Computer Science","Research Fellow","0000-0001-7010-2000","Università degli Studi di Trieste","TO CHECK","PhD Student",2021.0,"Nessuna","",4.0,"NA","NA"
"GIAN CARLO","MILANESE","(INF/01)","Computer Science","Research Fellow","0000-0002-1757-0152","Università degli Studi di Milano-Bicocca","APPROVED","PhD Student",2020.0,"Knowledge Representation","",5.0,3,17
"SANDIP JAYANTLIAL","MODHA","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","","","NA","NA"
"SARA","NOCCO","(INF/01)","Computer Science","Research Fellow","0009-0000-6086-8213","University of Milano-Bicocca","APPROVED","Research Fellow",2024.0,"Nessuna","",0.0,"NA","NA"
"MARIA TERESA","ROSSI","(ING-INF/05)","Information Processing Systems","Research Fellow","0000-0003-0273-7324","","TO CHECK","","","","",14.0,3,59
"AURORA","SAIBENE","(INF/01)","Computer Science","Research Fellow","0000-0002-4405-8234","Università degli Studi di Milano-Bicocca Dipartimento di Informatica Sistemistica e Comunicazione","APPROVED","Postdoctoral fellow",2022.0,"BCI, EEG, Neuroinformatics","",17.0,9,408
"SEYEDIMAN","SEYEDI","(MAT/09)","Operations Research","Research Fellow","","","TO CHECK","","","","","","NA","NA"
"EFFROSYNI","SOKLI","(INF/01)","Computer Science","Research Fellow","0009-0003-5388-2385","University of Milano-Bicocca","APPROVED","","","Information Retrieval, Natural Language Processing, Representation Learning","",0.0,0,"NA"
"HOLGADO LUCIA","VICENTE","(INF/01)","Computer Science","Research Fellow","0000-0002-6733-6567","Clinica Saude Animal ","TO CHECK","Médica Veterinária",1997.0,"Nessuna","",0.0,"NA","NA"
"AN QI","ZHAO","(INF/01)","Computer Science","Research Fellow","0009-0009-3390-7024","University of Milano-Bicocca","APPROVED","","","Nessuna","",0.0,"NA","NA"
"QURBAN","ALI","","SSD not available","Research Fellow","0009-0003-0087-9270","University of Milano-Bicocca","APPROVED","PhD Student ",2023.0,"Autonomous Driving Systems (ADS), Software Testing, Machine Learning, Cyber Physical Systems (CPS)","",0.0,"NA","NA"
"ABUBAKARI","ALIDU","","SSD not available","PhD Student","0009-0000-9251-919X","University of Milano-Bicocca","APPROVED","","","Machine learning, Natural Language Processing (NLP), Knowledge and Analytics Engineering","",0.0,3,79
"HAMZA","AMRANI","","SSD not available","PhD Student","0000-0002-7081-6051","Constantine 1 University","TO CHECK","","","Deep Learning, Representation Learning, Signal Processing","",4.0,2,28
"GIANMARIA","BALDUCCI","","SSD not available","PhD Student","0000-0003-3607-0951","","TO CHECK","","","Nessuna","",0.0,"NA","NA"
"THOMAS","BARBERA","","SSD not available","PhD Student","0009-0001-5684-1867","University of Milano-Bicocca","APPROVED","PhD Student",2023.0,"EEG Processing, Deep Learning, Digital Signal Processing, Neuroinformatics, AI-Assisted Healthcare","",0.0,"NA","NA"
"FRANCESCO","CANONACO","","SSD not available","PhD Student","0009-0006-5554-8665","University of Milano-Bicocca","APPROVED","",2023.0,"Nessuna","",0.0,"NA","NA"
"MICHELE","CARBONERA","","SSD not available","PhD Student","0009-0000-3537-1977","","TO CHECK","","","","",0.0,1,1
"VASCO","COELHO","","SSD not available","PhD Student","0009-0007-5742-0929","","TO CHECK","","","Nessuna","",0.0,"NA","NA"
"LUCA","COGO","","SSD not available","PhD Student","0009-0001-0056-053X","University of Milano-Bicocca","APPROVED","PhD Student",2023.0,"Nessuna","",0.0,"NA","NA"
"DAVIDE","COZZI","","SSD not available","PhD Student","0000-0003-2439-0608","","TO CHECK","","","Nessuna","",6.0,"NA","NA"
"SALVATORE","D'ANTONA","","SSD not available","PhD Student","0000-0002-1283-8789","","TO CHECK","","","Nessuna","",10.0,"NA","NA"
"FEDERICA","DI LAURO","","SSD not available","PhD Student","0000-0003-1244-6942","Istituto Nazionale di Geofisica e Vulcanologia Sezione di Milano","APPROVED","Researcher",2022.0,"Robotics, Point Cloud","",19.0,1,10
"FEDERICO","DI MARCO","","SSD not available","PhD Student","0000-0003-0376-1342","University of Milano-Bicocca","APPROVED","PhD Student",2023.0,"Nessuna","",20.0,"NA","NA"
"CATERINA","FREGOSI","","SSD not available","PhD Student","0009-0004-7626-8131","University of Milano-Bicocca","APPROVED","PhD",2024.0,"Human AI Interaction, eXplainable AI, Decision Support System","",0.0,1,2
"GIOVANNI DONATO","GALLO","","SSD not available","PhD Student","0009-0009-2413-5149","","TO CHECK","","","Nessuna","",0.0,"NA","NA"
"MATTEO","GARAVAGLIA","","SSD not available","PhD Student","0009-0006-7451-3986","","TO CHECK","","","Nessuna","",0.0,"NA","NA"
"MARCO","LOCATELLI","","SSD not available","PhD Student","0000-0003-0778-3653","","TO CHECK","","","Nessuna","",166.0,"NA","NA"
"FRANCESCA","MACCARONE","","SSD not available","PhD Student","0009-0004-6221-2671","University of Milano-Bicocca","APPROVED","PhD student",2023.0,"Neuroimaging, MRI, Machine learning, Geometry processing","",0.0,0,"NA"
"ATIEH","MAHROO","","SSD not available","PhD Student","0000-0002-2962-3661","","TO CHECK","","","Nessuna","",14.0,"NA","NA"
"FARIHA","MAQBOOL","","SSD not available","PhD Student","0009-0008-2587-9417","University of Milano-Bicocca","APPROVED","PhD student",2023.0,"Machine Learning, Natural Language Processing, Computer Vision","",3.0,2,7
"MARIO","MARINO","","SSD not available","PhD Student","0000-0002-4686-7297","","TO CHECK","","","Nessuna","",0.0,"NA","NA"
"ALBERTO","MINORA","","SSD not available","PhD Student","","","TO CHECK","","","","","","NA","NA"
"FRANCESCO","MORANO","","SSD not available","PhD Student","0009-0008-4593-4778","University of Milano-Bicocca","APPROVED","","","Nessuna","",0.0,"NA","NA"
"CHIARA","NATALI","","SSD not available","PhD Student","0000-0002-0293-171X","University of Florence","TO CHECK","Technician","","Artificial Intelligence, Human-AI Interaction, Human-Computer Interaction, Explainable AI, CSCW","",2.0,6,136
"MARCO","PIAZZA","","SSD not available","PhD Student","0000-0001-7105-2017","","TO CHECK","","","Nessuna","",0.0,"NA","NA"
"FEDERICO","PIROLA","","SSD not available","PhD Student","","","TO CHECK","","","","","","NA","NA"
"RICCARDO","POZZI","","SSD not available","PhD Student","0000-0002-4954-3837","","TO CHECK","","","deep learning, natural language processing, knowledge representation, information extraction, knowledge base population","",3.0,4,25
"BRIAN","RICCARDI","","SSD not available","PhD Student","0000-0002-4925-9529","","TO CHECK","","","","",6.0,2,11
"GIORGIA","RIGAMONTI","","SSD not available","PhD Student","0009-0006-4253-1020","University of Milano-Bicocca","APPROVED","PhD Student",2023.0,"Nessuna","",0.0,"NA","NA"
"NICCOLÒ","ROCCHI","","SSD not available","PhD Student","0009-0000-9764-0036","","TO CHECK","","","Nessuna","",0.0,"NA","NA"
"LORENZO","ROVIDA","","SSD not available","PhD Student","0000-0001-5093-7932","","TO CHECK","","","Fully Homomorphic Encryption, Lattice-based Cryptography","",5.0,3,20
"DANIEL","SCALENA","","SSD not available","PhD Student","0009-0006-0518-6504","University of Groningen","TO CHECK","","","Artificial Intelligence, Natural language processing, Interpretability","",1.0,1,4
"MATTIA","SGRO","","SSD not available","PhD Student","0009-0003-5838-5329","Università degli Studi di Milano-Bicocca","APPROVED","PhD Student",2023.0,"bioinformatics, datastructures","",1.0,0,"NA"
"SAHAR","SHAH","","SSD not available","PhD Student","0000-0002-9943-935X","","TO CHECK","","","Nessuna","",1.0,"NA","NA"
